,SRR7457551,SRR7457552,SRR7457553,SRR7457554,SRR7457555,SRR7457556,SRR7457557,SRR7457558,SRR7457559
Rdh10,81,90,39,38,54,55,62,36,68
Stau2,124,118,130,86,111,137,57,67,93
Ube2w,382,317,312,217,308,383,275,240,270
Eloc,652,633,402,287,416,393,315,308,351
D030040B21Rik,0,0,0,0,0,0,0,0,0
Tmem70,434,419,310,209,276,328,271,198,284
Ly96,58,38,38,49,62,53,46,52,52
Jph1,0,1,2,0,0,1,1,0,0
Gdap1,1,2,3,2,5,3,5,3,2
Pi15,0,0,0,0,0,0,0,0,0
Gm16070,0,0,0,0,0,0,0,0,0
Crispld1,0,0,0,0,1,0,0,0,0
Crisp4,0,0,0,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0,0,0
Gm15825,0,0,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,0,0,0
Tfap2b,0,0,0,0,0,0,0,0,0
Pkhd1,0,0,0,0,0,0,0,0,0
4930486I03Rik,0,0,0,0,0,0,0,0,0
Lincmd1,0,0,0,0,0,0,0,0,0
Mir206,0,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0,0
Il17a,0,0,0,0,0,0,1,0,0
Il17f,1,3,2,0,1,4,0,0,1
Mcm3,2729,2689,410,351,529,515,537,343,521
6720483E21Rik,0,0,2,0,0,0,0,0,0
Paqr8,2,0,8,7,0,4,3,6,1
Efhc1,2,3,3,2,4,1,2,2,3
Tram2,55,78,39,74,68,64,45,30,60
Tmem14a,11,9,12,6,11,15,10,8,11
Gsta3,1,1,1,0,0,1,1,1,1
Gm4956,0,0,0,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0,0,0,0
Khdc1c,0,0,1,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0,0,0,0
Kcnq5,0,1,0,1,0,1,2,0,2
Rims1,0,1,3,2,0,0,0,4,0
Gm7759,0,0,0,0,0,0,0,0,0
Ppp1r14bl,0,0,0,0,0,0,0,0,0
Mir30a,0,0,0,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0,0,0,0
Ogfrl1,1064,900,551,523,678,660,494,359,599
Gm28822,0,0,0,0,0,0,0,0,0
B3gat2,420,394,333,326,433,393,267,223,367
Smap1,982,925,745,678,1060,899,667,557,741
Sdhaf4,112,95,47,34,71,46,68,57,71
Fam135a,214,151,372,231,393,402,141,115,152
Col9a1,0,0,0,0,0,0,0,0,0
Col19a1,0,0,0,0,0,0,0,0,0
Lmbrd1,944,736,832,713,1096,1139,683,652,777
Adgrb3,0,0,0,1,0,0,0,4,0
Gm20172,0,0,0,0,0,0,0,0,0
Gm9884,0,0,0,0,0,0,0,0,0
4931408C20Rik,0,0,0,0,0,0,0,0,0
Gm5524,0,0,0,0,0,0,0,0,0
Gm597,0,0,0,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0,0,0,0
Gm31465,0,0,0,0,0,0,0,0,0
Phf3,1402,1295,784,981,1382,1119,1008,837,1152
Ptp4a1,1535,1507,987,778,1238,1196,769,614,735
LOC115487084,25,14,9,7,11,15,5,5,10
Gm29669,0,0,0,0,0,0,0,0,0
4931428L18Rik,4,1,2,0,3,0,0,1,1
Lgsn,1,0,1,0,0,0,0,0,0
Dnaaf6,0,0,0,0,0,0,0,0,0
Gm4850,0,0,0,0,0,0,0,0,0
Khdrbs2,0,0,0,0,0,0,0,1,0
Gm9839,0,0,0,0,0,0,0,0,0
Gm5415,0,0,0,0,0,0,0,0,0
Prim2,710,689,145,154,200,165,188,113,241
1700001G17Rik,1,1,0,0,0,0,0,0,1
Gm32229,0,0,0,0,0,0,0,0,0
Rab23,95,104,48,28,37,48,64,44,43
Bag2,19,23,12,7,11,15,1,4,4
Zfp451,447,411,401,294,417,533,363,260,411
Gm15455,2,1,3,0,1,0,1,1,2
Bend6,301,305,194,162,204,232,182,157,225
Dst,7794,6053,7334,6815,10287,9470,6172,5276,7879
Mir6896,0,0,0,0,0,0,1,0,0
Gm26788,112,90,96,106,161,167,93,80,144
Mir5103,1,2,1,0,0,1,4,0,0
Ccdc115,843,622,719,507,714,825,438,317,507
Imp4,665,638,507,341,514,598,349,225,381
Ptpn18,68,51,80,58,77,68,48,41,54
Prss39,0,0,0,0,0,0,0,0,0
Cfc1,0,0,0,0,0,0,0,0,0
Prss40,0,0,0,0,0,0,0,0,0
Amer3,0,0,0,0,0,0,0,0,0
AA619741,0,0,0,0,0,0,0,0,0
Arhgef4,156,98,182,117,202,233,131,97,148
Fam168b,5168,4458,3145,2844,3976,3933,3098,2484,3718
Plekhb2,3484,3021,2530,2341,3023,3082,2410,2073,2858
Hs6st1,849,679,1313,1246,2113,1816,909,634,957
Uggt1,2883,2878,1477,1569,1983,1967,1512,1096,1838
Mir6897,0,0,0,0,0,1,0,1,0
Neurl3,99,76,143,143,178,156,127,83,88
Arid5a,112,97,141,66,103,155,39,38,54
Kansl3,763,640,871,593,1009,919,474,331,532
Mir6898,0,0,0,0,0,0,0,0,0
Fer1l5,76,59,35,54,52,59,50,42,68
Lman2l,385,374,172,192,235,220,220,164,260
Gm33454,12,8,3,4,6,3,4,1,1
Cnnm4,403,355,255,207,307,273,205,153,258
Cnnm3,652,552,229,303,426,300,432,331,583
Ankrd23,173,111,117,84,118,119,147,99,171
Ankrd39,114,82,66,55,81,99,58,63,79
Sema4c,15,7,13,6,16,17,8,3,7
Fam178b,0,0,0,0,0,0,0,0,0
Cox5b,1176,1126,542,420,622,595,390,379,505
Actr1b,816,763,595,505,698,775,468,364,568
4933424G06Rik,0,1,0,0,0,1,0,0,0
Zap70,0,4,10,2,17,9,7,10,10
Tmem131,2426,1848,1464,1753,2341,2030,1740,1390,2177
Vwa3b,0,0,0,0,0,1,0,0,0
Cnga3,0,0,0,0,0,0,0,0,1
Inpp4a,632,553,754,428,795,1127,534,474,647
Coa5,1836,1635,1237,917,1181,1317,1013,818,1123
Unc50,517,473,358,347,416,402,370,284,380
Mgat4a,1417,1159,1155,1045,1846,1436,853,714,1003
4930594C11Rik,10,6,20,15,23,22,21,17,12
Cracdl,0,0,1,0,0,0,0,0,0
Tsga10,27,30,32,46,45,42,27,17,28
Lipt1,26,32,32,17,28,28,16,19,28
Mitd1,243,241,124,88,107,153,132,113,138
Mrpl30,429,379,221,204,267,225,205,167,222
Lyg2,0,0,0,0,0,0,0,0,0
Lyg1,0,0,0,0,0,0,0,0,0
Txndc9,625,554,521,464,546,575,404,380,490
Eif5b,2711,2643,2068,1709,2426,2427,1686,1407,1843
Rev1,318,298,246,191,266,303,172,159,220
Gm5099,0,0,0,0,0,0,0,0,0
Aff3,0,0,7,8,8,7,19,16,11
Lonrf2,0,0,3,1,0,0,0,5,0
Chst10,0,1,6,5,2,3,0,6,1
Nms,0,0,0,0,0,0,0,0,0
Pdcl3,495,454,335,329,400,439,347,263,346
Mir6349,0,0,0,0,0,0,0,0,0
Npas2,1,0,0,0,0,1,0,0,1
Rpl31,1428,1352,910,832,1147,1104,878,746,934
Tbc1d8,81,89,76,43,77,55,33,33,36
Cnot11,484,386,388,296,421,447,267,236,321
Snord89,0,4,5,3,20,14,5,2,6
Rnf149,1950,1740,2459,1731,3151,3088,1381,1106,1514
Creg2,188,177,155,110,133,187,127,120,138
Rfx8,0,0,0,0,0,1,0,0,0
Gm3646,0,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0,0
Gm35600,0,0,1,0,0,0,0,0,0
Map4k4,1581,1706,744,767,1025,930,683,521,888
Gm16894,0,0,0,0,0,1,1,0,0
Il1r2,4,1,12,8,15,15,2,1,1
Il1r1,30,29,58,43,84,63,38,26,65
Il1rl2,651,475,434,458,712,544,546,477,741
Il1rl1,2,1,5,1,6,2,6,9,9
Il18r1,2,10,15,11,14,17,15,12,20
Il18rap,50,68,34,22,24,47,29,20,23
Gm35801,0,0,0,0,0,1,0,0,1
Slc9a4,1378,1250,1529,1595,2930,2108,1684,1362,1971
Slc9a2,388,272,271,242,289,367,321,255,335
Mfsd9,137,110,88,72,139,85,116,93,146
Tmem182,0,0,1,0,0,1,0,0,0
4930448I06Rik,0,0,0,0,0,0,0,0,0
Gm39631,0,0,0,0,0,0,0,0,0
Pantr1,0,0,0,1,0,0,0,1,0
Gm46091,0,0,0,0,0,0,0,0,0
Pou3f3,0,0,0,3,0,0,0,1,0
2900092D14Rik,0,0,0,0,0,0,0,0,0
Pantr2,0,0,0,0,0,0,0,0,0
Dalir,0,0,0,0,0,0,0,0,0
Mrps9,312,238,224,187,268,271,195,147,208
Gpr45,1,0,2,0,0,0,0,0,0
Tgfbrap1,897,861,726,600,981,971,583,449,741
AI597479,275,222,146,112,140,186,189,110,193
Fhl2,0,1,0,2,1,0,1,1,0
Nck2,34,36,52,51,43,44,20,24,26
Ecrg4,4,3,4,3,3,4,2,2,3
Uxs1,784,739,516,401,569,577,433,378,496
Tpp2,1486,1464,1100,909,1246,1201,853,722,936
Mettl21c,1,3,0,2,1,0,0,0,3
Gm8251,10,8,10,4,7,5,4,1,4
Tex30,181,180,41,63,56,68,61,44,64
Poglut2,268,264,136,127,162,138,164,122,188
Bivm,236,200,113,114,147,145,177,153,201
Ercc5,216,181,196,165,269,253,183,144,200
Mettl21e,0,0,0,0,0,0,0,0,0
Gulp1,0,0,0,0,0,0,0,0,0
4930521E06Rik,0,0,0,0,0,0,0,0,0
Col3a1,0,4,2,1,2,2,2,2,5
Col5a2,0,0,2,0,0,0,0,0,0
Wdr75,444,379,507,195,345,489,238,183,256
Slc40a1,56,32,56,40,57,52,37,38,54
Stk-ps2,0,0,0,0,0,0,0,0,0
Dnah7b,0,0,0,1,0,0,0,0,0
Dnah7c,1,1,2,5,5,7,2,0,1
Slc39a10,955,781,325,648,745,496,804,700,884
Mir6350,0,0,0,0,0,0,0,0,0
C230029F24Rik,0,0,0,0,0,0,0,0,0
Tmeff2,0,0,0,0,0,0,0,0,0
9330175M20Rik,0,0,0,0,0,0,0,0,0
Cavin2,8,3,14,8,11,11,15,10,8
Nabp1,3746,3192,4539,1327,1566,4501,3105,2268,3580
Gm17767,1,1,4,2,0,1,2,0,4
Myo1b,0,2,8,5,11,5,2,4,9
Stat4,2,6,6,4,7,4,7,9,11
Stat1,2513,2093,1019,895,1085,1274,1350,1100,1609
Gls,1860,1634,1863,1599,2228,2377,1751,1395,1977
Nab1,822,795,464,431,611,514,450,375,495
Gm53065,0,1,3,1,0,1,1,4,2
Gm28178,0,0,1,0,0,0,1,0,2
Nemp2,145,140,31,33,48,42,66,49,90
Mfsd6,86,97,46,94,67,31,76,86,144
Inpp1,75,45,35,43,52,40,65,58,73
Hibch,161,157,55,52,52,61,107,62,75
1700019D03Rik,0,0,1,2,0,2,0,0,0
Mstn,0,0,0,0,0,0,0,0,0
1700019A02Rik,1,1,1,0,0,1,1,0,1
Pms1,121,135,40,29,47,36,61,30,55
Ormdl1,388,359,183,186,187,193,195,179,235
Osgepl1,64,51,32,22,29,37,30,28,30
Asnsd1,969,926,498,514,661,520,577,545,618
Asdurf,0,0,0,0,0,0,0,0,0
Dnah7a,0,0,0,0,0,0,0,2,0
Stk17b,2746,2438,1382,1985,2535,1922,2696,2239,2914
Hecw2,9,4,18,9,8,3,14,18,11
Mir7681,0,0,0,0,0,0,0,0,0
Rnu6,10,1,1,1,6,3,0,3,2
Ccdc150,1,0,1,1,0,0,0,0,1
Gtf3c3,336,293,285,169,252,289,229,170,239
Gm34066,0,0,0,0,2,0,1,1,1
Pgap1,634,476,502,457,510,525,526,495,748
Ankrd44,1727,1309,1371,1437,2122,1748,1369,1132,1661
Sf3b1,4861,4629,4859,4252,6240,5397,3398,2772,3839
Coq10b,367,324,387,387,577,483,230,211,288
Hspd1,2288,2631,1269,1090,1202,1331,1014,799,1103
Hspe1,677,797,245,270,365,306,296,266,337
Mob4,552,518,456,332,512,545,388,315,348
Rftn2,7,6,3,5,6,6,4,6,5
Gm10561,0,1,0,0,0,1,0,0,1
Mars2,94,94,67,26,33,99,64,29,65
Boll,3,0,0,0,2,3,0,1,1
Plcl1,46,19,19,43,79,37,43,27,21
Gm6644,4,2,2,4,4,1,0,2,1
9130227L01Rik,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0
Hsfy2,0,0,0,0,0,0,0,0,0
Satb2,33,17,16,23,12,17,11,13,23
9130024F11Rik,3,5,1,2,0,0,5,0,3
1700126A01Rik,0,0,0,0,0,0,0,0,0
BC055402,0,0,0,0,0,0,0,0,0
4930558J18Rik,18,13,5,2,1,0,3,0,2
1700066M21Rik,189,156,63,54,70,88,99,79,131
Tyw5,88,86,84,49,83,69,47,56,61
Maip1,169,153,190,143,224,179,90,94,124
Spats2l,0,0,3,0,1,0,0,0,0
Kctd18,154,136,189,135,208,207,130,89,122
Sgo2a,571,503,67,64,75,59,105,54,95
Aox1,0,0,1,0,2,0,0,5,0
Aox3,0,0,2,0,0,0,0,0,0
Aox4,0,0,0,0,0,0,0,0,0
Aox2,0,0,0,0,0,0,0,0,0
Bzw1,2902,2694,2199,1576,2428,2508,1603,1336,1881
Clk1,792,809,581,607,948,692,987,790,1240
Ppil3,206,184,80,99,91,102,135,114,162
Nif3l1,294,277,202,131,175,196,174,103,210
Orc2,417,400,209,161,204,292,153,102,154
Fam126b,217,203,146,104,204,193,118,132,166
Ndufb3,394,437,206,180,237,220,186,194,183
Gm20257,5,3,5,7,5,4,6,3,3
Flacc1,0,0,0,0,0,0,0,1,0
Cflar,936,989,950,557,872,1175,800,695,958
Casp8,1816,1654,1183,1220,1621,1579,1202,1100,1384
Trak2,678,617,550,417,554,637,464,379,503
Stradb,244,186,105,120,128,119,148,117,160
C2cd6,0,0,0,0,0,0,0,0,0
Tmem237,91,95,29,34,35,30,27,25,18
Mpp4,0,1,0,0,3,1,2,1,1
Als2,628,554,265,236,270,312,316,254,360
Gm33667,1,0,0,0,0,1,0,0,0
Cdk15,0,0,0,0,2,0,0,1,0
Fzd7,769,591,673,520,1010,1107,482,397,586
Gm973,0,0,0,1,1,2,0,0,1
Sumo1,365,354,234,183,240,261,203,205,245
Nop58,945,988,862,413,605,906,387,284,434
Snord70,0,0,1,0,0,4,0,0,0
Snord11,1,0,0,1,1,1,0,0,0
Bmpr2,1447,1197,1399,1346,1717,1563,1306,1163,1595
Fam117b,701,541,566,696,1038,701,654,498,770
Ica1l,4,3,7,6,13,6,10,10,7
Wdr12,285,311,255,143,155,244,168,119,193
Carf,121,122,109,73,86,113,89,69,81
Nbeal1,390,415,278,357,353,375,357,337,467
Cyp20a1,474,450,276,225,314,308,252,207,293
Abi2,151,120,128,90,147,116,76,56,83
Raph1,261,245,121,147,116,98,133,128,177
Cd28,0,1,10,12,9,9,7,13,12
Ctla4,1,2,13,4,12,4,2,0,0
Icos,2,0,4,4,8,11,3,6,1
9530026F06Rik,0,0,0,0,0,0,0,0,0
Pard3b,3,6,61,46,75,84,7,1,0
Pard3bos2,0,0,0,0,0,0,0,0,0
Nrp2,2449,2431,1752,1033,1096,1885,1010,783,1208
4930487H11Rik,16,20,43,9,9,40,7,5,8
Ino80d,1207,1122,760,730,1208,916,974,754,1163
Ino80dos,227,201,100,122,152,149,104,73,109
Ndufs1,1408,1403,775,666,881,931,733,558,742
Eef1b2,2586,2383,1619,1407,2051,1845,1473,1334,1734
Snora41,6,3,12,2,4,4,4,2,2
Gpr1,0,0,0,0,0,0,0,0,0
Zdbf2,0,0,0,0,0,0,1,1,0
Adam23,11,32,12,11,4,3,4,2,6
Gm39653,0,0,0,0,0,0,0,0,0
Dytn,0,0,0,0,2,0,0,0,2
Mdh1b,3,0,2,1,1,1,0,0,2
Fastkd2,330,364,246,176,239,284,169,143,168
4933402D24Rik,1,1,3,0,0,1,1,0,2
Gm13749,0,0,0,0,0,0,0,0,0
Klf7,104,86,83,97,161,126,84,65,106
Mir6899,0,0,0,0,0,0,0,0,1
Creb1,882,922,386,474,508,464,759,622,783
Mettl21a,204,166,89,75,97,115,141,103,154
2810408I11Rik,31,40,3,5,4,3,6,6,2
Ccnyl1,109,97,74,68,117,93,53,38,71
Fzd5,138,131,68,90,178,119,72,53,97
Plekhm3,1354,1142,1148,1056,1309,1413,1012,906,1245
Gm51627,5,3,2,5,7,3,7,6,6
Akr1cl,0,0,0,0,0,0,0,0,0
Cryge,0,0,0,0,0,0,0,0,0
Crygd,0,0,0,0,0,0,0,0,0
Crygc,0,0,0,0,0,0,0,0,0
Crygb,0,0,0,0,0,0,0,0,0
Cryga,0,0,0,0,0,0,0,0,0
D630023F18Rik,6,9,3,4,3,1,4,2,3
Idh1,4580,3825,2339,2406,3195,3010,2728,2285,2902
Pikfyve,1050,1029,651,647,629,763,650,584,784
Pth2r,0,0,0,0,1,0,0,1,0
Crygf,0,0,0,0,0,0,0,0,0
Map2,4,1,19,11,3,0,1,32,0
Unc80,0,0,2,4,0,0,0,16,0
Rpe,815,748,305,315,347,356,381,322,439
Kansl1l,161,134,95,91,116,94,87,84,152
Acadl,1600,1430,829,616,901,1037,597,532,758
Myl1,0,0,0,0,0,0,0,0,0
Lancl1,248,200,129,130,173,173,147,136,141
Cps1,0,0,0,0,0,0,0,0,0
Erbb4,0,0,0,0,0,0,0,1,0
Ikzf2,79,62,44,69,53,48,97,54,74
Spag16,0,0,0,0,0,0,0,0,0
Vwc2l,0,0,0,0,0,0,0,0,0
Bard1,438,386,36,35,42,38,69,35,69
Abca12,0,0,0,0,0,0,0,0,0
Atic,1538,1455,784,541,703,904,701,491,763
Fn1,20964,22328,6291,8466,12801,11717,12537,10250,14066
Apol7d,1,3,1,1,0,1,2,0,2
Gm8883,1,1,0,1,0,0,1,0,0
4933417E11Rik,12,13,14,20,26,21,23,24,38
Gm4319,2,5,0,1,3,1,0,0,1
Mreg,378,461,294,147,222,353,86,87,114
Gm51630,0,0,0,0,0,0,0,0,0
D230017M19Rik,16,12,4,3,1,5,4,6,15
Pecr,147,124,84,71,105,92,111,79,95
Tmem169,0,0,1,4,0,0,0,1,0
Xrcc5,676,546,324,282,360,417,334,261,362
Marchf4,23,15,24,49,47,36,27,37,22
Smarcal1,731,613,348,414,484,481,481,356,514
Ankar,0,0,0,0,0,0,0,0,0
Rpl37a,2159,2184,1586,1338,1957,1851,1391,1329,1561
Igfbp2,0,0,3,4,2,6,0,4,1
Igfbp5,0,0,4,0,1,2,0,3,2
Tnp1,0,0,0,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0,0,0,0
Gm31254,0,0,0,0,0,0,0,0,0
Gm31344,0,0,0,0,0,0,0,0,0
Pinc,0,0,0,0,0,0,0,0,0
D530049I02Rik,0,0,0,0,0,0,0,0,0
6030407O03Rik,0,0,0,0,0,0,0,0,0
Mir6351,0,0,0,0,1,0,0,0,0
Tns1,6484,4815,5308,4234,6838,6511,4936,3688,5892
Rufy4,1247,988,956,588,737,1138,756,620,924
Cxcr2,121,69,76,43,45,94,34,34,37
Cxcr1,63,44,129,123,105,146,91,112,102
Mir1928,0,0,0,0,0,0,0,0,0
Arpc2,10358,9516,7925,5927,8900,8992,5881,4924,6804
Gpbar1,1,2,2,0,5,1,0,1,0
Aamp,1545,1320,1079,1130,1662,1575,1183,937,1373
Gm28364,550,444,352,394,559,470,380,328,460
Pnkd,77,70,81,44,86,76,69,60,69
Tmbim1,2722,2137,3191,2538,4165,3878,2976,2596,3561
Catip,2,0,0,1,0,1,0,1,1
Slc11a1,39,38,55,23,41,50,33,25,35
Ctdsp1,998,840,534,649,898,770,670,617,872
Mir26b,2,0,0,0,0,0,1,0,1
Vil1,2,1,4,1,4,4,1,1,0
Usp37,574,572,280,180,241,357,264,160,316
Cnot9,852,845,461,302,409,498,255,188,329
Plcd4,11,4,10,6,15,9,8,6,5
Zfp142,403,305,261,145,262,331,210,141,268
Bcs1l,175,145,75,48,82,68,67,80,94
Rnf25,192,152,212,199,223,288,141,124,165
Stk36,18,13,5,2,4,9,15,9,13
Ttll4,512,487,398,327,409,506,311,263,356
Cyp27a1,41,40,98,77,127,80,54,49,62
Prkag3,0,0,1,0,2,0,0,0,1
Wnt6,3,0,0,0,1,1,0,0,1
Wnt10a,0,0,0,0,0,0,0,0,0
Gm16582,0,0,0,0,0,0,0,0,0
Cdk5r2,0,0,1,1,0,0,1,0,0
Fev,0,0,0,0,0,0,0,0,0
Cryba2,0,0,0,0,0,0,0,2,0
Mir375,0,0,0,0,0,0,0,0,0
Cfap65,0,0,1,0,0,1,0,0,0
Ihh,0,0,3,0,3,0,0,0,4
Nhej1,80,55,29,53,48,30,61,41,50
Slc23a3,1,0,1,0,5,5,2,0,3
Cnppd1,1264,912,810,836,1266,1002,968,754,1252
Retreg2,1646,1300,873,1059,1305,1093,1112,953,1356
Zfand2b,222,190,138,140,176,139,132,121,193
Abcb6,284,230,119,88,122,130,81,103,150
Atg9a,868,693,381,554,728,550,563,491,742
Ankzf1,412,281,167,206,232,214,291,187,355
Glb1l,226,182,153,133,205,206,151,123,211
Stk16,574,503,434,319,457,437,373,244,436
Tuba4a,2335,1972,1379,1003,1215,1390,1018,678,1229
A630095N17Rik,0,0,0,0,0,1,0,0,0
Dnajb2,126,158,120,104,135,102,126,122,174
Ptprn,0,1,2,6,2,0,0,8,2
Resp18,0,0,4,3,0,0,1,3,0
Dnpep,532,500,225,322,329,303,275,227,359
Des,0,0,0,1,1,1,4,0,1
Gm15179,0,0,0,0,0,0,0,0,0
Speg,47,55,88,90,94,79,35,38,51
Gmppa,635,607,386,347,450,441,444,284,445
Asic4,0,0,0,0,0,0,0,0,0
Chpf,727,643,327,348,434,481,367,270,400
Tmem198,60,69,33,41,48,56,66,58,90
Obsl1,0,1,0,0,1,1,0,2,0
Inha,0,0,1,0,0,0,0,0,0
Stk11ip,634,564,405,427,673,515,444,322,550
Slc4a3,0,1,2,0,1,6,1,3,2
Gm17751,0,0,0,0,0,0,0,0,0
Mir6343,0,0,0,0,0,0,0,0,0
Epha4,1,0,2,1,0,0,0,1,0
Mir6352,0,0,0,0,0,0,0,0,0
Pax3,0,0,0,0,0,0,0,0,0
Gm33152,0,0,0,0,0,0,0,0,0
Gm2102,0,0,0,0,0,0,0,0,0
Sgpp2,13,3,12,4,13,15,9,10,4
Farsb,861,979,451,333,420,546,359,266,423
Mogat1,0,0,0,0,0,0,0,0,0
Utp14b,60,50,12,20,32,16,13,13,17
Acsl3,141,176,64,53,56,39,42,42,43
Gm29536,0,0,0,0,0,0,0,0,0
Kcne4,0,0,0,0,0,0,0,0,0
Scg2,0,0,4,4,0,0,0,3,0
Ap1s3,76,64,45,32,43,48,42,40,43
Wdfy1,197,160,341,224,360,420,139,106,189
Mrpl44,249,217,141,120,132,156,105,112,180
Serpine2,1,1,5,1,2,0,1,4,0
Fam124b,0,0,0,0,0,0,0,0,2
Cul3,1506,1333,1127,1000,1503,1355,823,723,958
1700016L21Rik,0,0,0,0,0,0,0,0,0
Dock10,7100,5778,4589,4887,7023,5688,5167,4168,6347
Nyap2,0,0,0,1,0,0,0,0,0
Mir6344,0,0,0,0,0,0,0,0,0
Irs1,0,1,0,2,1,0,0,4,0
Rhbdd1,477,337,414,284,400,502,286,214,352
Col4a4,3,0,2,1,8,6,2,0,1
Col4a3,1,2,8,1,9,6,8,1,4
Mff,667,613,438,401,570,536,419,361,438
Tm4sf20,1,0,0,0,0,1,1,0,0
Gm17764,0,0,0,0,0,0,0,0,0
Agfg1,1316,1393,1099,788,1055,1198,730,611,753
Slc19a3,0,0,0,0,0,0,0,0,0
Krtap28-13,0,0,0,0,0,0,0,0,0
Ccl20,0,0,0,0,0,0,0,0,0
Daw1,0,0,0,0,0,0,0,0,0
Sphkap,0,0,10,6,0,0,0,6,0
Pid1,401,427,326,333,339,392,275,218,282
Mir6353,0,0,0,0,0,0,0,0,0
Dner,0,2,9,7,0,0,0,17,4
Mir5126,0,0,2,0,0,0,0,0,0
Trip12,3557,3246,2726,1988,2542,3167,2243,1681,2737
Fbxo36,25,13,19,10,24,21,20,17,20
Slc16a14,9,5,16,26,34,21,41,17,45
A530032D15Rik,2,0,2,0,0,0,0,2,1
A530040E14Rik,12,9,11,17,28,18,6,4,7
Gm38510,0,0,0,0,0,0,0,0,0
Gm7609,0,0,0,0,0,0,1,0,0
C130026I21Rik,6,8,5,11,9,4,1,8,3
LOC102633783,0,0,0,0,0,0,0,0,0
Gm2619,0,0,0,0,0,0,0,0,0
Gm7592,1,0,0,1,0,0,0,0,0
Sp110,175,141,211,168,229,242,169,122,202
Sp140,246,207,248,261,352,256,208,191,257
Sp100,249,220,168,179,243,246,239,125,234
A630001G21Rik,267,249,276,186,289,305,220,158,258
Mir8096,0,0,0,0,0,0,0,1,0
9930111H07Rik,0,0,0,0,0,0,0,0,0
Cab39,2069,1948,1657,1526,2319,2093,1355,1222,1574
Itm2c,1694,1541,1778,1515,2515,2218,1471,1285,1810
4933407L21Rik,6,1,2,11,11,1,2,5,4
